number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_n_estimators,params_num_leaves,params_subsample,state
0,0.8614695018468603,2025-12-10 18:57:56.975158,2025-12-10 18:57:57.309495,0 days 00:00:00.334337,0.9063233020424546,2.5348407664333426e-07,0.005611516415334507,8,19,1912,95,0.5290418060840998,COMPLETE
1,0.8343960267545173,2025-12-10 18:57:57.310091,2025-12-10 18:57:57.422935,0 days 00:00:00.112844,0.4283831568974037,8.148018307012941e-07,0.015930522616241012,12,84,1475,9,0.5909124836035503,COMPLETE
2,0.8356693620844563,2025-12-10 18:57:57.423351,2025-12-10 18:57:57.554849,0 days 00:00:00.131498,0.5564532903055841,1.8007140198129195e-07,0.0040596116104843075,5,63,1145,59,0.6460723242676091,COMPLETE
3,0.831051712089448,2025-12-10 18:57:57.555263,2025-12-10 18:57:57.670764,0 days 00:00:00.115501,0.41936688658110405,2.6185068507773707e-08,0.008168455894760165,8,61,1614,31,0.8037724259507192,COMPLETE
4,0.8488784067085954,2025-12-10 18:57:57.671256,2025-12-10 18:57:57.858388,0 days 00:00:00.187132,0.6081067456177209,7.569183361880229e-08,0.0013492834268013251,11,34,1908,123,0.8421165132560784,COMPLETE
5,0.8534481381651193,2025-12-10 18:57:57.858870,2025-12-10 18:57:58.092492,0 days 00:00:00.233622,0.6640476148244676,0.009176996354542699,0.0017541893487450805,12,29,1091,11,0.6558555380447055,COMPLETE
6,0.8320265548567434,2025-12-10 18:57:58.092910,2025-12-10 18:57:58.230227,0 days 00:00:00.137317,0.9453119645161818,1.1309571585271483,0.0123999678368461,10,95,532,124,0.7989499894055425,COMPLETE
7,0.8336722571628232,2025-12-10 18:57:58.231598,2025-12-10 18:57:58.400906,0 days 00:00:00.169308,0.5497273286855124,2.7678419414850017e-06,0.0015030900645056826,6,42,552,12,0.9143687545759647,COMPLETE
8,0.855334431466507,2025-12-10 18:57:58.401383,2025-12-10 18:57:58.574037,0 days 00:00:00.172654,0.43910097707392065,7.620481786158549,0.0036464395589807202,11,12,1177,24,0.8861223846483287,COMPLETE
9,0.8284226814415494,2025-12-10 18:57:58.574483,2025-12-10 18:57:58.682763,0 days 00:00:00.108280,0.3811083416675908,4.638759594322625e-08,0.0010257563974185654,10,79,1668,92,0.6792328642721364,COMPLETE
10,0.8727513227513228,2025-12-10 18:57:58.683271,2025-12-10 18:57:58.876128,0 days 00:00:00.192857,0.9832979299005966,8.764524253376523e-05,0.06172134958426716,3,6,210,86,0.5075721185513784,COMPLETE
11,0.8729604672057503,2025-12-10 18:57:58.876589,2025-12-10 18:57:59.091256,0 days 00:00:00.214667,0.9779025496676125,8.113466471626533e-05,0.07832921114568382,3,7,212,89,0.5085150448431796,COMPLETE
12,0.8695637416392135,2025-12-10 18:57:59.091666,2025-12-10 18:57:59.271583,0 days 00:00:00.179917,0.8245475157459221,0.00017074840405786843,0.08806936989384834,3,9,214,77,0.517270374655098,COMPLETE
13,0.8718847958470601,2025-12-10 18:57:59.271980,2025-12-10 18:57:59.440892,0 days 00:00:00.168912,0.7992955888356472,8.557191342184109e-05,0.09555079828235717,3,23,260,63,0.9996812193207756,COMPLETE
14,0.8637301587301588,2025-12-10 18:57:59.441300,2025-12-10 18:57:59.721232,0 days 00:00:00.279932,0.9972118925528495,0.004321079107464325,0.037862049534377544,5,6,635,103,0.5761734165366944,COMPLETE
15,0.8641589298193072,2025-12-10 18:57:59.721635,2025-12-10 18:58:00.040221,0 days 00:00:00.318586,0.7709678466950395,2.914351403702609e-05,0.03696587186479673,4,48,724,80,0.7120543752979214,COMPLETE
16,0.8750414295697315,2025-12-10 18:58:00.040755,2025-12-10 18:58:00.311359,0 days 00:00:00.270604,0.8794510816202786,0.00380675566468029,0.0382108034136248,6,34,866,51,0.5023700598265448,COMPLETE
17,0.8622391933712688,2025-12-10 18:58:00.311897,2025-12-10 18:58:00.476920,0 days 00:00:00.165023,0.8774821449409568,0.007032733648511369,0.021805968504045335,7,34,905,48,0.5866458375933084,COMPLETE
18,0.8571862833183588,2025-12-10 18:58:00.477679,2025-12-10 18:58:00.754719,0 days 00:00:00.277040,0.712676214925589,0.06370258523443588,0.03671000013150751,6,56,426,43,0.5984666423439184,COMPLETE
19,0.8709448936807427,2025-12-10 18:58:00.755187,2025-12-10 18:58:00.957079,0 days 00:00:00.201892,0.8683844374503821,1.3865505452822999e-05,0.055927017545451166,5,19,849,52,0.7204707405713804,COMPLETE
20,0.8644858740141759,2025-12-10 18:58:00.957514,2025-12-10 18:58:01.287994,0 days 00:00:00.330480,0.7428412749336228,0.0012651809277446292,0.022020175383560568,7,42,1380,108,0.5504396149179921,COMPLETE
21,0.877664969551762,2025-12-10 18:58:01.288429,2025-12-10 18:58:01.474359,0 days 00:00:00.185930,0.9931534342529336,0.0007483783216457514,0.06088530534598087,3,15,358,78,0.5075106058128437,COMPLETE
22,0.8700833582909053,2025-12-10 18:58:01.474788,2025-12-10 18:58:01.683348,0 days 00:00:00.208560,0.9326466596780159,0.1370734033377153,0.057660616992996044,4,17,399,70,0.6133633083701489,COMPLETE
23,0.862340521114106,2025-12-10 18:58:01.683855,2025-12-10 18:58:01.885162,0 days 00:00:00.201307,0.8502448227516575,0.0006420613002919862,0.027382876429614796,4,26,419,74,0.5439819420478211,COMPLETE
24,0.8642138364779874,2025-12-10 18:58:01.885573,2025-12-10 18:58:02.087402,0 days 00:00:00.201829,0.9983268686264922,0.042952435233910534,0.0636437321871159,4,14,782,36,0.5539821074404394,COMPLETE
25,0.8762503743635819,2025-12-10 18:58:02.087828,2025-12-10 18:58:02.303155,0 days 00:00:00.215327,0.9158415801149858,6.843823254858266e-06,0.09967516291405094,6,35,968,57,0.5114371860526319,COMPLETE
26,0.8765738244983527,2025-12-10 18:58:02.303566,2025-12-10 18:58:02.600519,0 days 00:00:00.296953,0.9119090511841482,4.928106555576052e-06,0.04544838607385491,6,38,910,59,0.6251962831613973,COMPLETE
27,0.8705435759209343,2025-12-10 18:58:02.601015,2025-12-10 18:58:02.855053,0 days 00:00:00.254038,0.9194428975914475,4.79351760819479e-06,0.051552247492011566,8,45,1012,68,0.6412568987644841,COMPLETE
28,0.8653354297693919,2025-12-10 18:58:02.855543,2025-12-10 18:58:03.154326,0 days 00:00:00.298783,0.3177300166952318,2.170661898767714e-06,0.09502988650968515,9,53,1293,59,0.6915622983673659,COMPLETE
29,0.8469751422581611,2025-12-10 18:58:03.154770,2025-12-10 18:58:03.386641,0 days 00:00:00.231871,0.9169158250775536,5.422112414906267e-07,0.025598972946998616,7,71,981,40,0.6213009440192627,COMPLETE
30,0.8594005191175003,2025-12-10 18:58:03.387058,2025-12-10 18:58:03.636931,0 days 00:00:00.249873,0.8065304758543456,2.4611564197916765e-05,0.007920208626334146,6,38,692,102,0.5617394184926987,COMPLETE
31,0.8697713886393131,2025-12-10 18:58:03.637385,2025-12-10 18:58:03.871722,0 days 00:00:00.234337,0.9090839399005718,0.0021075210874252456,0.04330094005495156,6,31,874,53,0.5343180256545284,COMPLETE
32,0.8700034940600979,2025-12-10 18:58:03.872178,2025-12-10 18:58:04.226202,0 days 00:00:00.354024,0.8761606357441472,0.0003676855991056141,0.014828090052276192,5,23,1249,58,0.5022018346190281,COMPLETE
33,0.8766721573325349,2025-12-10 18:58:04.226759,2025-12-10 18:58:04.432850,0 days 00:00:00.206091,0.9498174200706195,1.0986931762514336e-05,0.07215499538761799,8,38,1000,66,0.5742190954371529,COMPLETE
34,0.8715972846161526,2025-12-10 18:58:04.433373,2025-12-10 18:58:04.664764,0 days 00:00:00.231391,0.9483711859203792,8.899499084387184e-06,0.07427004702793374,9,48,1019,82,0.5788400870016309,COMPLETE
35,0.8585519616651691,2025-12-10 18:58:04.665333,2025-12-10 18:58:04.903750,0 days 00:00:00.238417,0.9560439864798627,1.1197657466284607e-08,0.07307776112653587,9,60,1475,66,0.6416451222105726,COMPLETE
36,0.8679929120495158,2025-12-10 18:58:04.904174,2025-12-10 18:58:05.151152,0 days 00:00:00.246978,0.8245998134812107,1.3071975549702625e-06,0.05134599180018535,8,39,1111,71,0.7651102469623772,COMPLETE
37,0.8706758510532095,2025-12-10 18:58:05.151588,2025-12-10 18:58:05.397498,0 days 00:00:00.245910,0.6515672764951402,5.80569319342578e-07,0.02990481318373898,8,28,1988,28,0.5337808746815463,COMPLETE
38,0.8366716581810921,2025-12-10 18:58:05.397986,2025-12-10 18:58:05.548317,0 days 00:00:00.150331,0.6967394053433141,2.095085162874584e-07,0.004579668388010165,7,68,1725,60,0.6150238326147368,COMPLETE
39,0.8403778576420086,2025-12-10 18:58:05.548804,2025-12-10 18:58:05.713777,0 days 00:00:00.164973,0.5899653430492243,7.419362622255453e-06,0.01878007549175341,5,99,570,44,0.5658870752096061,COMPLETE
40,0.8765748228012379,2025-12-10 18:58:05.714288,2025-12-10 18:58:05.962989,0 days 00:00:00.248701,0.5133307067393722,3.289486739979715e-05,0.046883552776176965,8,21,1210,96,0.6671565070379647,COMPLETE
41,0.8695911949685534,2025-12-10 18:58:05.963545,2025-12-10 18:58:06.255424,0 days 00:00:00.291879,0.4969446743487777,2.0843928308284948e-05,0.04605456806448164,8,19,1194,112,0.6664717633632424,COMPLETE
42,0.854513327343516,2025-12-10 18:58:06.255829,2025-12-10 18:58:06.549472,0 days 00:00:00.293643,0.5089679106138728,5.0008129427801585e-05,0.002617232380280381,9,24,1348,85,0.7444405627260804,COMPLETE
43,0.8785155236098632,2025-12-10 18:58:06.549949,2025-12-10 18:58:06.780407,0 days 00:00:00.230458,0.968178608369604,0.00023863265479643695,0.07583362828042227,10,36,1536,95,0.6251523843475426,COMPLETE
44,0.8674947589098533,2025-12-10 18:58:06.780956,2025-12-10 18:58:07.075002,0 days 00:00:00.294046,0.9588447735715193,0.0002516161005027252,0.06976477623202818,10,12,1591,97,0.640422406988426,COMPLETE
45,0.8506269342118399,2025-12-10 18:58:07.075408,2025-12-10 18:58:07.359672,0 days 00:00:00.284264,0.44278703116934315,0.0010404736710796642,0.010632348673340267,12,29,1800,119,0.690977639532771,COMPLETE
46,0.8536472995906959,2025-12-10 18:58:07.360168,2025-12-10 18:58:07.553126,0 days 00:00:00.192958,0.6217825830424025,0.00015577450910700166,0.03063782892122135,11,42,1484,97,0.604769166572437,COMPLETE
47,0.8681870819606669,2025-12-10 18:58:07.553599,2025-12-10 18:58:07.796942,0 days 00:00:00.243343,0.9649092395783212,9.090947531842372e-08,0.08026880505200426,10,16,1565,92,0.6639030688349332,COMPLETE
48,0.874272736348208,2025-12-10 18:58:07.797479,2025-12-10 18:58:08.057167,0 days 00:00:00.259688,0.9999741851809346,4.890571934992596e-05,0.046763598634579545,11,22,1097,86,0.6303083808202868,COMPLETE
49,0.8616412099430967,2025-12-10 18:58:08.057583,2025-12-10 18:58:08.308137,0 days 00:00:00.250554,0.5555912256062,2.6026300528428876e-06,0.06128045772005959,9,49,1396,76,0.8031711072413606,COMPLETE
50,0.8699955076370169,2025-12-10 18:58:08.308547,2025-12-10 18:58:08.562023,0 days 00:00:00.253476,0.8463233775550767,0.0001399436561917865,0.03328082227019391,10,31,1256,103,0.5934912584685629,COMPLETE
51,0.8755705300988319,2025-12-10 18:58:08.562823,2025-12-10 18:58:08.771818,0 days 00:00:00.208995,0.8920108630632844,4.021394933535001e-06,0.09964224073018903,7,37,984,64,0.5364569097188512,COMPLETE
52,0.8781381651192973,2025-12-10 18:58:08.772241,2025-12-10 18:58:08.990785,0 days 00:00:00.218544,0.9101619313911362,0.000500720199184571,0.07527820256169869,7,34,788,56,0.5789536574009367,COMPLETE
53,0.8671483478087252,2025-12-10 18:58:08.991203,2025-12-10 18:58:09.262825,0 days 00:00:00.271622,0.9746010060384384,0.00040745415564411177,0.0813868883751793,7,10,737,80,0.567593889020072,COMPLETE
54,0.8703973245482681,2025-12-10 18:58:09.263303,2025-12-10 18:58:09.561547,0 days 00:00:00.298244,0.9372827820437887,0.01755082704184627,0.04157310506366705,8,44,629,93,0.5955974793428119,COMPLETE
55,0.8682619546770491,2025-12-10 18:58:09.562118,2025-12-10 18:58:09.773194,0 days 00:00:00.211076,0.7805212056022874,0.0019055647677507454,0.06552550663663065,8,32,336,74,0.8504441474286224,COMPLETE
56,0.8715748228012379,2025-12-10 18:58:09.773615,2025-12-10 18:58:10.044993,0 days 00:00:00.271378,0.40205309798894084,6.610396638842774e-05,0.05343151891728237,7,27,788,115,0.7142007112020557,COMPLETE
57,0.8700064889687532,2025-12-10 18:58:10.045551,2025-12-10 18:58:10.273417,0 days 00:00:00.227866,0.8964539143517892,0.0007949285446423207,0.08233612957408695,11,20,913,89,0.9940568042495767,COMPLETE
58,0.8554048118199061,2025-12-10 18:58:10.273837,2025-12-10 18:58:10.488815,0 days 00:00:00.214978,0.8414413970289335,1.926918474582414e-05,0.06433835238469564,5,52,1175,48,0.6628234575808303,COMPLETE
59,0.8446376160527104,2025-12-10 18:58:10.489270,2025-12-10 18:58:10.698936,0 days 00:00:00.209666,0.9414793357328987,0.00972691450999449,0.00707194827557359,3,39,1060,55,0.6284440800354665,COMPLETE
60,0.8680817610062894,2025-12-10 18:58:10.699382,2025-12-10 18:58:11.026964,0 days 00:00:00.327582,0.4750635376541139,0.000496457550482047,0.03641975915498717,6,5,485,63,0.5727915343322809,COMPLETE
61,0.8769856244384545,2025-12-10 18:58:11.027495,2025-12-10 18:58:11.247371,0 days 00:00:00.219876,0.9750912672012286,1.0763005390035697e-06,0.0831209669352162,6,36,948,57,0.5196421808752113,COMPLETE
62,0.8471977638015374,2025-12-10 18:58:11.247875,2025-12-10 18:58:11.468075,0 days 00:00:00.220200,0.9829550340944103,1.3250021623519888e-06,0.05461452326055127,6,87,811,70,0.520006492192505,COMPLETE
63,0.87620495158231,2025-12-10 18:58:11.468569,2025-12-10 18:58:11.701448,0 days 00:00:00.232879,0.9291570421268914,1.1453143046357261e-05,0.0860237816874517,7,35,944,17,0.5495075499322302,COMPLETE
64,0.8639997005091343,2025-12-10 18:58:11.701849,2025-12-10 18:58:11.942266,0 days 00:00:00.240417,0.3494429813972325,3.9675348400094125e-07,0.0709125365464933,5,41,1047,61,0.5228901948133613,COMPLETE
65,0.8679819307177798,2025-12-10 18:58:11.942785,2025-12-10 18:58:12.170749,0 days 00:00:00.227964,0.9730596168659317,3.6982361608061026e-05,0.048318648194206254,9,45,680,49,0.5901566808806586,COMPLETE
66,0.8734691025257064,2025-12-10 18:58:12.171187,2025-12-10 18:58:12.419079,0 days 00:00:00.247892,0.8601121741211831,0.00015242729982758866,0.06035534184585309,7,25,593,44,0.6106675154138477,COMPLETE
67,0.8750918438654288,2025-12-10 18:58:12.419535,2025-12-10 18:58:12.786692,0 days 00:00:00.367157,0.9014247634218842,0.0029454909662882073,0.04291723717937391,4,33,854,107,0.6799509652673075,COMPLETE
68,0.8769866227413396,2025-12-10 18:58:12.787221,2025-12-10 18:58:13.071524,0 days 00:00:00.284303,0.9979850797133858,1.153170248391022e-06,0.08605642079893033,6,36,1157,36,0.5522323809624995,COMPLETE
69,0.874099530797644,2025-12-10 18:58:13.072055,2025-12-10 18:58:13.419355,0 days 00:00:00.347300,0.9774441723901818,1.0444981046732021e-07,0.08729570858893977,8,30,1128,35,0.5514715907382562,COMPLETE
70,0.8769307177797744,2025-12-10 18:58:13.419795,2025-12-10 18:58:13.723541,0 days 00:00:00.303746,0.9958757784131472,1.0529847448182318e-06,0.07348893810990878,6,35,1219,21,0.5005783955105414,COMPLETE
71,0.8764690026954177,2025-12-10 18:58:13.724115,2025-12-10 18:58:13.942795,0 days 00:00:00.218680,0.9537204260523885,1.042136044403417e-06,0.07273530078200367,6,35,1223,19,0.5027554601091739,COMPLETE
72,0.8700484176899271,2025-12-10 18:58:13.943303,2025-12-10 18:58:14.169773,0 days 00:00:00.226470,0.9954940080621657,3.506153475685198e-07,0.09939738111735015,6,15,1311,11,0.5228323855307525,COMPLETE
73,0.8763077767794749,2025-12-10 18:58:14.170192,2025-12-10 18:58:14.392151,0 days 00:00:00.221959,0.9324611020550454,2.1799586649973418e-06,0.05804596028437082,5,26,1171,31,0.5410690649110741,COMPLETE
74,0.874941599281222,2025-12-10 18:58:14.392631,2025-12-10 18:58:14.603630,0 days 00:00:00.210999,0.9628991895522367,0.0003042157663421995,0.08722193750389934,7,36,1406,26,0.5602446039016441,COMPLETE
75,0.881098133173605,2025-12-10 18:58:14.604156,2025-12-10 18:58:14.857584,0 days 00:00:00.253428,0.9893295309646274,7.549101327821082e-07,0.07154820818041263,6,40,1515,20,0.529324282281373,COMPLETE
76,0.8717669961066188,2025-12-10 18:58:14.858004,2025-12-10 18:58:15.078941,0 days 00:00:00.220937,0.9993526505637128,6.932357085340231e-07,0.07535238314666036,6,42,1801,22,0.516243969294123,COMPLETE
77,0.8721243885394829,2025-12-10 18:58:15.079475,2025-12-10 18:58:15.272526,0 days 00:00:00.193051,0.9498980617586842,2.770909943730924e-08,0.06880637429343527,5,47,1532,15,0.5810693507640522,COMPLETE
78,0.8795387840670859,2025-12-10 18:58:15.272989,2025-12-10 18:58:15.490788,0 days 00:00:00.217799,0.9757226661294535,1.5958432590512342e-07,0.08874279048640508,6,40,1681,36,0.531635687865297,COMPLETE
79,0.86662224218828,2025-12-10 18:58:15.491233,2025-12-10 18:58:15.708013,0 days 00:00:00.216780,0.983028247530835,1.473539306482297e-07,0.09285983154702168,6,52,1692,7,0.5016852604764576,COMPLETE
80,0.8560801637216733,2025-12-10 18:58:15.708607,2025-12-10 18:58:15.962490,0 days 00:00:00.253883,0.9213248455955612,5.8295522622218645e-08,0.05770043680902635,5,59,1646,34,0.5287906792016116,COMPLETE
81,0.8795842068483578,2025-12-10 18:58:15.963071,2025-12-10 18:58:16.198489,0 days 00:00:00.235418,0.9718833073099703,2.7890793546531647e-07,0.07959290999697029,6,40,1855,39,0.5473017032133223,COMPLETE
82,0.8816402116402117,2025-12-10 18:58:16.198951,2025-12-10 18:58:16.455378,0 days 00:00:00.256427,0.9730829780580879,0.447382589945834,0.0808448340985361,6,40,1959,40,0.5408064242269928,COMPLETE
83,0.8748502545672358,2025-12-10 18:58:16.455805,2025-12-10 18:58:16.745132,0 days 00:00:00.289327,0.8915369273225149,0.0965778184820141,0.08116144672467461,6,39,1920,41,0.5419545398353254,COMPLETE
84,0.8607806728561446,2025-12-10 18:58:16.745768,2025-12-10 18:58:17.005106,0 days 00:00:00.259338,0.9678037412251487,4.48868313733343,0.08903155285596388,7,44,1842,39,0.5576599725402241,COMPLETE
85,0.8670954377558152,2025-12-10 18:58:17.005516,2025-12-10 18:58:17.240025,0 days 00:00:00.234509,0.9303663328036995,0.9823216624457772,0.06325300749048675,6,41,1921,38,0.5302573064376811,COMPLETE
86,0.8366866327243685,2025-12-10 18:58:17.240464,2025-12-10 18:58:17.406198,0 days 00:00:00.165734,0.9808843976945241,3.473989137261639e-08,0.0010123477808614007,5,32,1703,29,0.5455144569450975,COMPLETE
87,0.8545462713387242,2025-12-10 18:58:17.406623,2025-12-10 18:58:17.576834,0 days 00:00:00.170211,0.9519891597932946,1.9652074415340848e-07,0.09936454521117853,3,49,1856,32,0.5145132159628863,COMPLETE
88,0.8663706698612359,2025-12-10 18:58:17.577394,2025-12-10 18:58:17.780358,0 days 00:00:00.202964,0.9129388037461226,0.3821274874520176,0.07852259934134384,12,46,1950,46,0.582462991453354,COMPLETE
89,0.8786293301387641,2025-12-10 18:58:17.780906,2025-12-10 18:58:18.053412,0 days 00:00:00.272506,0.9669879966657348,1.3234570030614892e-07,0.05168600796184171,4,40,1770,53,0.5638706893620575,COMPLETE
90,0.8732155335928921,2025-12-10 18:58:18.053826,2025-12-10 18:58:18.344546,0 days 00:00:00.290720,0.9427484051870095,3.204377932214499e-07,0.051397537403150825,4,40,1779,26,0.5653361768740095,COMPLETE
91,0.8789812319057603,2025-12-10 18:58:18.345206,2025-12-10 18:58:18.595015,0 days 00:00:00.249809,0.9664533031789481,5.012704696198867e-08,0.06414969117360707,4,37,1640,55,0.5335231194873403,COMPLETE
92,0.8563956274333633,2025-12-10 18:58:18.595567,2025-12-10 18:58:18.847832,0 days 00:00:00.252265,0.9666289151845544,1.277927164573304e-08,0.06591279480786374,3,43,1754,53,0.535626033403029,COMPLETE
93,0.8782914046121594,2025-12-10 18:58:18.848384,2025-12-10 18:58:19.163821,0 days 00:00:00.315437,0.9846853340342053,5.2416812239449383e-08,0.0400398329253994,4,33,1866,46,0.5533713694631929,COMPLETE
